date,day,time,stadium,home,away,cancelled,reason,note,stadium_id
2020-05-09,토,17:00,잠실,두산,KT,True,우천취소,우천취소,
2020-05-10,일,14:00,잠실,13두산,KT12,False,정상진행,-,
2020-05-19,화,18:30,잠실,4두산,NC5,False,정상진행,-,
2020-05-20,수,18:30,잠실,2두산,NC1,False,정상진행,-,
2020-05-21,목,18:30,잠실,6두산,NC12,False,정상진행,-,
2020-05-22,금,18:30,잠실,6LG,KT5,False,정상진행,-,
2020-05-23,토,14:00,잠실,2LG,KT6,False,정상진행,-,
2020-05-24,일,14:00,잠실,9LG,KT7,False,정상진행,-,
2020-05-29,금,18:30,잠실,4두산,롯데2,False,정상진행,-,
2020-05-31,일,14:00,잠실,3두산,롯데8,False,정상진행,-,
2020-06-09,화,18:30,잠실,3LG,SK5,False,정상진행,-,
2020-06-10,수,18:30,잠실,LG,SK,True,우천취소,우천취소,
2020-06-11,목,15:00,잠실,3LG,SK1,False,정상진행,-,
2020-06-19,금,18:30,잠실,10LG,두산18,False,정상진행,-,
2020-06-20,토,17:00,잠실,2LG,두산8,False,정상진행,-,
2020-06-21,일,17:00,잠실,1LG,두산3,False,정상진행,-,
2020-06-23,화,18:30,잠실,3LG,키움8,False,정상진행,-,
2020-06-24,수,18:30,잠실,LG,키움,True,우천취소,우천취소,
2020-06-25,목,15:00,잠실,2LG,키움5,False,정상진행,-,
2020-06-30,화,18:30,잠실,4LG,KT3,False,정상진행,-,
2020-07-01,수,18:30,잠실,5LG,KT11,False,정상진행,-,
2020-07-02,목,18:30,잠실,3LG,KT4,False,정상진행,-,
2020-07-03,금,18:30,잠실,2두산,한화1,False,정상진행,-,
2020-07-04,토,18:00,잠실,2두산,한화6,False,정상진행,-,
2020-07-05,일,17:00,잠실,7두산,한화4,False,정상진행,-,
2020-07-14,화,18:30,잠실,7두산,SK12,False,정상진행,-,
2020-07-15,수,18:30,잠실,7두산,SK2,False,정상진행,-,
2020-07-16,목,18:30,잠실,4두산,SK2,False,정상진행,-,
2020-07-17,금,18:30,잠실,8LG,한화0,False,정상진행,-,
2020-07-18,토,18:00,잠실,3LG,한화1,False,정상진행,-,
2020-07-19,일,17:00,잠실,6LG,한화2,False,정상진행,-,
2020-07-28,화,18:30,잠실,2두산,키움6,False,정상진행,-,
2020-07-29,수,18:30,잠실,두산,키움,True,우천취소,우천취소,
2020-07-30,목,18:30,잠실,5두산,키움8,False,정상진행,-,
2020-07-31,금,18:30,잠실,1LG,한화2,False,정상진행,-,
2020-08-01,토,18:00,잠실,9LG,한화6,False,정상진행,-,
2020-08-02,일,17:00,잠실,LG,한화,True,우천취소,우천취소,
2020-08-03,월,18:30,잠실,LG,한화,True,우천취소,우천취소,
2020-08-11,화,18:30,잠실,4LG,KIA8,False,정상진행,-,
2020-08-12,수,18:30,잠실,8LG,KIA0,False,정상진행,-,
2020-08-13,목,18:30,잠실,4LG,KIA2,False,정상진행,-,
2020-08-18,화,18:30,잠실,6LG,KIA5,False,정상진행,-,
2020-08-19,수,18:30,잠실,10LG,KIA1,False,정상진행,-,
2020-08-22,토,18:00,잠실,LG,한화,True,우천취소,우천취소,
2020-08-23,일,17:00,잠실,3LG,한화4,False,정상진행,-,
2020-08-24,월,18:30,잠실,3LG,한화6,False,정상진행,-,
2020-08-25,화,18:30,잠실,10두산,KIA8,False,정상진행,-,
2020-08-26,수,18:30,잠실,5두산,KIA7,False,정상진행,-,
2020-08-29,토,18:00,잠실,5LG,두산5,False,정상진행,-,
2020-09-01,화,18:30,잠실,4두산,한화0,False,정상진행,-,
2020-09-02,수,18:30,잠실,두산,한화,True,우천취소,우천취소,
2020-09-08,화,18:30,잠실,8두산,KT0,False,정상진행,-,
2020-09-12,토,17:00,잠실,1LG,삼성5,False,정상진행,-,
2020-09-13,일,14:00,잠실,0LG,삼성11,False,정상진행,-,
2020-09-17,목,18:30,잠실,9LG,롯데1,False,정상진행,-,
2020-09-18,금,18:30,잠실,3LG,롯데5,False,정상진행,-,
2020-09-19,토,17:00,잠실,6두산,LG9,False,정상진행,-,
2020-09-20,일,14:00,잠실,6두산,LG5,False,정상진행,-,
2020-10-02,금,14:00,잠실,14두산,KIA3,False,정상진행,-,
2020-10-03,토,14:00,잠실,7두산,KIA2,False,정상진행,-,
2020-10-04,일,14:00,잠실,7두산,KIA1,False,정상진행,-,
2020-10-06,화,18:30,잠실,2LG,삼성3,False,정상진행,-,
2020-10-08,목,18:30,잠실,1LG,삼성0,False,정상진행,-,
2020-10-10,토,14:00,잠실,5LG,NC0,False,정상진행,-,
2020-10-13,화,18:30,잠실,5두산,한화0,False,정상진행,-,
2020-10-14,수,18:30,잠실,2두산,한화1,False,정상진행,-,
2020-10-15,목,18:30,잠실,16두산,한화3,False,정상진행,-,
2020-10-24,토,17:00,잠실,2두산,롯데1,False,정상진행,-,
2020-10-27,화,18:30,잠실,3두산,한화0,False,정상진행,-,
2020-10-28,수,18:30,잠실,6LG,한화7,False,정상진행,-,
2021-04-03,토,14:00,잠실,두산,KIA,True,우천취소,우천취소,
2021-04-04,일,14:00,잠실,4두산,KIA1,False,정상진행,-,
2021-04-06,화,18:30,잠실,6두산,삼성3,False,정상진행,-,
2021-04-07,수,18:30,잠실,1두산,삼성0,False,정상진행,-,
2021-04-08,목,18:30,잠실,1두산,삼성6,False,정상진행,-,
2021-04-10,토,14:00,잠실,3LG,SSG4,False,정상진행,-,
