date,day,time,stadium,stadium_id,home,away,cancelled,reason,note
2020-06-04,목,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2020-06-05,금,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2020-06-06,토,14:00,한밭,daejeon,한화,NC,False,정상진행,-
2020-06-07,일,17:00,한밭,daejeon,한화,NC,False,정상진행,-
2020-06-12,금,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2020-06-13,토,17:00,한밭,daejeon,한화,두산,False,정상진행,-
2020-06-14,일,17:00,한밭,daejeon,한화,두산,False,정상진행,-
2020-06-16,화,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2020-06-17,수,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2020-06-18,목,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2020-06-26,금,18:30,한밭,daejeon,한화,KT,False,정상진행,-
2020-06-27,토,17:00,한밭,daejeon,한화,KT,False,정상진행,-
2020-06-28,일,17:00,한밭,daejeon,한화,KT,False,정상진행,-
2020-07-07,화,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2020-07-08,수,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2020-07-09,목,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2020-07-10,금,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2020-07-11,토,18:00,한밭,daejeon,한화,SK,False,정상진행,-
2020-07-12,일,17:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2020-07-13,월,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2020-07-21,화,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2020-07-22,수,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2020-07-23,목,18:30,한밭,daejeon,한화,KIA,True,우천취소,우천취소
2020-07-24,금,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2020-07-25,토,18:00,한밭,daejeon,한화,SK,True,우천취소,우천취소
2020-07-26,일,17:00,한밭,daejeon,한화,SK,False,정상진행,-
2020-07-27,월,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2020-08-04,화,18:30,한밭,daejeon,한화,NC,True,우천취소,우천취소
2020-08-05,수,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2020-08-06,목,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2020-08-07,금,18:30,한밭,daejeon,한화,KT,True,우천취소,우천취소
2020-08-08,토,18:00,한밭,daejeon,한화,KT,True,우천취소,우천취소
2020-08-09,일,17:00,한밭,daejeon,한화,KT,False,정상진행,-
2020-08-10,월,18:30,한밭,daejeon,한화,KT,True,우천취소,우천취소
2020-08-14,금,18:30,한밭,daejeon,한화,삼성,False,정상진행,-
2020-08-15,토,17:00,한밭,daejeon,한화,삼성,False,정상진행,-
2020-08-16,일,17:00,한밭,daejeon,한화,삼성,False,정상진행,-
2020-08-20,목,18:30,한밭,daejeon,한화,KT,False,정상진행,-
2020-08-21,금,18:30,한밭,daejeon,한화,KT,False,정상진행,-
2020-08-27,목,18:30,한밭,daejeon,한화,삼성,False,정상진행,-
2020-08-28,금,18:30,한밭,daejeon,한화,삼성,True,우천취소,우천취소
2020-09-03,목,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2020-09-04,금,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2020-09-05,토,17:00,한밭,daejeon,한화,KIA,False,정상진행,-
2020-09-06,일,14:00,한밭,daejeon,한화,KIA,False,정상진행,-
2020-09-10,목,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2020-09-11,금,18:30,한밭,daejeon,한화,SK,False,정상진행,-
2020-09-15,화,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2020-09-16,수,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2020-09-22,화,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2020-09-23,수,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2020-09-24,목,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2020-09-25,금,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2020-09-26,토,17:00,한밭,daejeon,한화,NC,False,정상진행,-
2020-09-27,일,14:00,한밭,daejeon,한화,NC,False,정상진행,-
2020-09-29,화,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2020-09-30,수,14:00,한밭,daejeon,한화,두산,False,정상진행,-
2020-10-01,목,14:00,한밭,daejeon,한화,두산,False,정상진행,-
2020-10-09,금,17:00,한밭,daejeon,한화,키움,False,정상진행,-
2020-10-10,토,17:00,한밭,daejeon,한화,키움,False,정상진행,-
2020-10-11,일,14:00,한밭,daejeon,한화,키움,False,정상진행,-
2020-10-16,금,18:30,한밭,daejeon,한화,삼성,False,정상진행,-
2020-10-17,토,17:00,한밭,daejeon,한화,삼성,False,정상진행,-
2020-10-18,일,14:00,한밭,daejeon,한화,삼성,False,정상진행,-
2020-10-22,목,18:30,한밭,daejeon,한화,KIA,False,정상진행,-
2020-10-23,금,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2020-10-29,목,18:30,한밭,daejeon,한화,KT,False,정상진행,-
2020-10-30,금,18:30,한밭,daejeon,한화,KT,False,정상진행,-
2021-04-09,금,18:30,한밭,daejeon,한화,두산,False,정상진행,-
2021-04-10,토,17:00,한밭,daejeon,한화,두산,False,정상진행,-
2021-04-11,일,14:00,한밭,daejeon,한화,두산,False,정상진행,-
2021-04-20,화,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2021-04-21,수,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2021-04-22,목,18:30,한밭,daejeon,한화,키움,False,정상진행,-
2021-04-23,금,18:30,한밭,daejeon,한화,LG,False,정상진행,-
2021-04-24,토,14:00,한밭,daejeon,한화,LG,False,정상진행,-
2021-04-25,일,14:00,한밭,daejeon,한화,LG,False,정상진행,-
2021-05-04,화,18:30,한밭,daejeon,한화,삼성,False,정상진행,기타
2021-05-05,수,14:00,한밭,daejeon,한화,삼성,False,정상진행,-
2021-05-06,목,18:30,한밭,daejeon,한화,삼성,False,정상진행,-
2021-05-11,화,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2021-05-12,수,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2021-05-13,목,18:30,한밭,daejeon,한화,NC,False,정상진행,-
2021-05-18,화,18:30,한밭,daejeon,한화,롯데,False,정상진행,-
2021-05-19,수,14:00,한밭,daejeon,한화,롯데,False,정상진행,-
